Site,Knoll,Year,Total,Broken,,,,,,,,,,,,,,,,,
Caves,1,2018,11,1,,,,,,,,,,,,,,,,,
Caves,2,2018,25,4,,,,,,,,,,,,,,,,,
Caves,3,2018,9,1,,,,,,,,,,,,,,,,,
Caves,4,2018,22,4,,,,,,,,,,,,,,,,,
Caves,5,2018,13,1,,,,,,,,,,,,,,,,,
Caves,6,2018,21,1,,,,,,,,,,,,,,,,,
Caves,7,2018,33,4,,,,,,,,,,,,,,,,,
Caves,8,2018,16,0,,,,,,,,,,,,,,,,,
Caves,9,2018,24,1,,,,,,,,,,,,,,,,,
Caves,10,2018,20,0,,,,,,,,,,,,,,,,,
Caves,11,2018,19,1,,,,,,,,,,,,,,,,,
Caves,12,2018,21,2,,,,,,,,,,,,,,,,,
Caves,13,2018,13,2,,,,,,,,,,,,,,,,,
Caves,14,2018,7,2,,,,,,,,,,,,,,,,,
Caves,15,2018,30,8,,,,,,,,,,,,,,,,,
Caves,16,2018,32,3,,,,,,,,,,,,,,,,,
Caves,17,2018,4,0,,,,,,,,,,,,,,,,,
Katza,1,2018,18,0,,,,,,,,,,,,,,,,,
Katza,2,2018,16,3,,,,,,,,,,,,,,,,,
Katza,3,2018,33,2,,,,,,,,,,,,,,,,,
Katza,4,2018,33,1,,,,,,,,,,,,,,,,,
Katza,5,2018,6,0,,,,,,,,,,,,,,,,,
Katza,6,2018,70,3,,,,,,,,,,,,,,,,,
Katza,7,2018,25,1,,,,,,,,,,,,,,,,,
Katza,8,2018,19,1,,,,,,,,,,,,,,,,,
Katza,9,2018,32,0,,,,,,,,,,,,,,,,,
Katza,10,2018,10,1,,,,,,,,,,,,,,,,,
Katza,11,2018,14,0,,,,,,,,,,,,,,,,,
Katza,12,2018,10,0,,,,,,,,,,,,,,,,,
Katza,14,2018,8,0,,,,,,,,,,,,,,,,,
Katza,15,2018,18,0,,,,,,,,,,,,,,,,,
Katza,16,2018,13,0,,,,,,,,,,,,,,,,,
Katza,17,2018,11,1,,,,,,,,,,,,,,,,,
Katza,18,2018,9,2,,,,,,,,,,,,,,,,,
Katza,19,2018,8,0,,,,,,,,,,,,,,,,,
Katza,20,2018,21,0,,,,,,,,,,,,,,,,,
Katza,21,2018,16,1,,,,,,,,,,,,,,,,,
Katza,22,2018,35,0,,,,,,,,,,,,,,,,,
Katza,23,2018,18,0,,,,,,,,,,,,,,,,,
Katza,24,2018,56,2,,,,,,,,,,,,,,,,,
NR,1,2018,53,4,,,,,,,,,,,,,,,,,
NR,2,2018,7,1,,,,,,,,,,,,,,,,,
NR,3,2018,13,0,,,,,,,,,,,,,,,,,
NR,4,2018,22,1,,,,,,,,,,,,,,,,,
NR,5,2018,27,0,,,,,,,,,,,,,,,,,
NR,6,2018,12,1,,,,,,,,,,,,,,,,,
NR,7,2018,47,9,,,,,,,,,,,,,,,,,
NR,8,2018,30,5,,,,,,,,,,,,,,,,,
NR,9,2018,27,2,,,,,,,,,,,,,,,,,
NR,10,2018,21,0,,,,,,,,,,,,,,,,,
NR,11,2018,21,2,,,,,,,,,,,,,,,,,
NR,12,2018,40,0,,,,,,,,,,,,,,,,,
NR,13,2018,34,0,,,,,,,,,,,,,,,,,
NR,14,2018,49,4,,,,,,,,,,,,,,,,,
NR,15,2018,40,2,,,,,,,,,,,,,,,,,
NR,16,2018,6,0,,,,,,,,,,,,,,,,,
NR,17,2018,32,1,,,,,,,,,,,,,,,,,
Princess,1,2018,31,1,,,,,,,,,,,,,,,,,
Princess,2,2018,7,0,,,,,,,,,,,,,,,,,
Princess,3,2018,17,3,,,,,,,,,,,,,,,,,
Princess,4,2018,32,7,,,,,,,,,,,,,,,,,
Princess,5,2018,8,1,,,,,,,,,,,,,,,,,
Princess,6,2018,5,0,,,,,,,,,,,,,,,,,
Princess,7,2018,15,0,,,,,,,,,,,,,,,,,
Princess,8,2018,11,4,,,,,,,,,,,,,,,,,
Princess,9,2018,16,0,,,,,,,,,,,,,,,,,
Princess,10,2018,22,5,,,,,,,,,,,,,,,,,
Princess,11,2018,22,2,,,,,,,,,,,,,,,,,
Princess,12,2018,32,5,,,,,,,,,,,,,,,,,
Princess,13,2018,9,2,,,,,,,,,,,,,,,,,
Princess,14,2018,7,0,,,,,,,,,,,,,,,,,
Princess,15,2018,14,2,,,,,,,,,,,,,,,,,
Princess,16,2018,20,0,,,,,,,,,,,,,,,,,
Princess,17,2018,59,7,,,,,,,,,,,,,,,,,
Princess,18,2018,8,0,,,,,,,,,,,,,,,,,
Princess,19,2018,17,3,,,,,,,,,,,,,,,,,
Princess,20,2018,17,1,,,,,,,,,,,,,,,,,
Princess,21,2018,4,0,,,,,,,,,,,,,,,,,
Caves,1,2020,,,,,,,,,,,,,,,,,,,
Caves,2,2020,23,17,,,,,,,,,,,,,,,,,
Caves,3,2020,9,7,,,,,,,,,,,,,,,,,
Caves,4,2020,,,,,,,,,,,,,,,,,,,
Caves,5,2020,3,3,,,,,,,,,,,,,,,,,
Caves,6,2020,34,16,,,,,,,,,,,,,,,,,
Caves,7,2020,31,11,,,,,,,,,,,,,,,,,
Caves,8,2020,22,18,,,,,,,,,,,,,,,,,
Caves,9,2020,9,9,,,,,,,,,,,,,,,,,
Caves,10,2020,12,9,,,,,,,,,,,,,,,,,
Caves,11,2020,,,,,,,,,,,,,,,,,,,
Caves,12,2020,,,,,,,,,,,,,,,,,,,
Caves,13,2020,11,9,,,,,,,,,,,,,,,,,
Caves,14,2020,9,2,,,,,,,,,,,,,,,,,
Caves,15,2020,20,18,,,,,,,,,,,,,,,,,
Caves,16,2020,19,11,,,,,,,,,,,,,,,,,
Caves,17,2020,,,,,,,,,,,,,,,,,,,
Princess,1,2020,37,28,,,,,,,,,,,,,,,,,
Princess,2,2020,5,3,,,,,,,,,,,,,,,,,
Princess,3,2020,,,,,,,,,,,,,,,,,,,
Princess,4,2020,21,12,,,,,,,,,,,,,,,,,
Princess,5,2020,9,6,,,,,,,,,,,,,,,,,
Princess,6,2020,7,4,,,,,,,,,,,,,,,,,
Princess,7,2020,,,,,,,,,,,,,,,,,,,
Princess,8,2020,7,5,,,,,,,,,,,,,,,,,
Princess,9,2020,7,5,,,,,,,,,,,,,,,,,
Princess,10,2020,2,2,,,,,,,,,,,,,,,,,
Princess,11,2020,11,7,,,,,,,,,,,,,,,,,
Princess,12,2020,,,,,,,,,,,,,,,,,,,
Princess,13,2020,,,,,,,,,,,,,,,,,,,
Princess,14,2020,6,6,,,,,,,,,,,,,,,,,
Princess,15,2020,16,14,,,,,,,,,,,,,,,,,
Princess,16,2020,,,,,,,,,,,,,,,,,,,
Princess,17,2020,,,,,,,,,,,,,,,,,,,
Princess,18,2020,9,6,,,,,,,,,,,,,,,,,
Princess,19,2020,4,4,,,,,,,,,,,,,,,,,
Princess,20,2020,8,4,,,,,,,,,,,,,,,,,
Princess,21,2020,,,,,,,,,,,,,,,,,,,
NR,1,2020,32,18,,,,,,,,,,,,,,,,,
NR,2,2020,18,4,,,,,,,,,,,,,,,,,
NR,,2020,,,,,,,,,,,,,,,,,,,
NR,,2020,,,,,,,,,,,,,,,,,,,
NR,5,2020,28,7,,,,,,,,,,,,,,,,,
NR,6,2020,,,,,,,,,,,,,,,,,,,
NR,,2020,,,,,,,,,,,,,,,,,,,
NR,8,2020,28,11,,,,,,,,,,,,,,,,,
NR,9,2020,20,3,,,,,,,,,,,,,,,,,
