Site,Knoll,Projected area before,Surface Area before,Projected area after,Surface area after,change ,change percentage
Caves,1,9.187425,19.3138747,3.95766,9.588052594,-9.725822109,-50.35665944
Caves,2,10.45953,20.14863224,8.810505,17.06290782,-3.085724419,-15.31480839
Caves,3,5.104125,11.54091458,5.05701,10.77041154,-0.770503049,-6.676273732
Caves,4,10.74222,23.40250538,6.94161,12.16115525,-11.24135014,-48.03481487
Caves,5,7.91532,16.95167985,4.86855,7.862036429,-9.089643425,-53.62090072
Caves,6,10.77363,19.2504051,7.75827,14.42999803,-4.820407075,-25.04054875
Caves,7,14.2365825,29.5666389,13.8204,25.27519852,-4.291440372,-14.5144681
Caves,8,6.737445,14.18850401,7.6561875,15.07731366,0.888809648,6.264294298
Caves,9,5.072715,11.11564199,4.5937125,9.241540606,-1.87410138,-16.86003726
Caves,10,6.21918,12.10813172,7.34994,13.30832197,1.200190248,9.912266197
Caves,11,7.145775,16.02634774,5.52816,12.38358567,-3.642762063,-22.72983292
Caves,12,5.229765,13.42239687,6.78456,16.41833237,2.995935501,22.32042108
Caves,13,3.29805,9.691921824,3.250935,7.844040154,-1.847881671,-19.06620487
Caves,14,3.533625,12.76443255,1.75896,6.046704819,-6.717727731,-52.62848704
Caves,15,33.5694375,65.54001143,13.56912,23.01963071,-42.52038073,-64.87698094
Caves,16,16.066215,37.85659855,13.41207,25.72052176,-12.13607679,-32.05802226
Caves,17,4.89996,12.63789236,6.78456,11.58001161,-1.057880752,-8.370705506
Katza,1,19.69407,32.58731702,14.0167125,28.99922353,-3.588093498,-11.01070547
Katza,2,13.898925,28.71310982,13.427775,31.59483164,2.881721819,10.03625813
Katza,3,10.129725,18.57185052,12.1792275,26.05985036,7.487999839,40.31908307
Katza,4,11.55888,22.16059411,10.2475125,22.26536013,0.104766016,0.472758157
Katza,5,2.66985,6.363267794,1.837485,5.640465037,-0.722802757,-11.35898693
Katza,6,14.181615,28.23740046,17.14986,36.23699688,7.999596414,28.32979057
Katza,7,8.00955,15.66908278,7.28712,16.39486324,0.72578046,4.631926899
Katza,8,9.67428,18.05666075,9.030375,18.36681647,0.310155718,1.717680377
Katza,9,9.45441,18.99588169,10.6794,25.62244598,6.62656429,34.88421543
Katza,10,6.831675,14.89807906,4.9078125,12.37285072,-2.525228338,-16.95002643
Katza,11,11.77875,23.01498567,13.94604,32.36050949,9.345523822,40.60625522
Katza,12,4.7507625,10.25976238,5.418225,13.81798983,3.558227448,34.68138264
Katza,14,3.26664,6.430049182,3.80061,9.641499422,3.21145024,49.94441176
Katza,15,5.418225,12.82678586,7.16148,22.17695667,9.350170803,72.89566461
Katza,16,5.05701,13.05063398,4.61727,15.31665612,2.266022134,17.36331076
Katza,17,3.26664,7.252357579,2.120175,5.375658456,-1.876699122,-25.87709034
Katza,18,4.695795,10.02248443,2.685555,6.589201024,-3.433283408,-34.25581183
