"","Site","year_month","knoll_number"
"1","Caves","2015 b",14
"2","Caves","2016 b",17
"3","Caves","2018 b",17
"4","Caves","2020 a",14
"5","Caves","2020 b",17
"6","Caves","2021 a",17
"7","Katza","2015 b",17
"8","Katza","2016 b",23
"9","Katza","2017 b",23
"10","Katza","2018 b",23
"11","Katza","2020 a",10
"12","Katza","2020 b",23
"13","Katza","2021 a",23
"14","North beach","2020 b",2
"15","NR","2015 b",11
"16","NR","2016 b",17
"17","NR","2018 b",22
"18","NR","2020 a",12
"19","NR","2020 b",18
"20","NR","2021 a",17
"21","Princess","2015 b",13
"22","Princess","2016 b",19
"23","Princess","2018 b",21
"24","Princess","2020 a",16
"25","Princess","2020 b",21
"26","Princess","2021 a",20
