"","Site","Knoll","Year","Date","year_month","survey_id","Observer","Species","Species_2015","Family","Abundance","Length","Confidence","year_observer","knoll_id","Status","a","b","coral_att","storm","Diameter","P_diameter","Max_depth","Min_depth","Hight","Projected_area","Mean_Complexity","Surface_Area","Stony_Coral","Soft_Coral","coral_cover","Algae","DD_X","DD_Y","ITM_X","ITM_Y"
"1","NR","1","2015",2015-10-19,"2015 b","NR_1_2015-10-19","Yoni Belmaker","Labrid spp. ","Labridae","Labridae",1,2,NA,"Yoni Belmaker_2015","NR_1","T",0.01181,3.01266666666667,"NR_1_2015","Before",6.7,4,4.7,3.1,1.6,21.04,2.110612694,44.41721095,23.58156028,2.127659574,25.709219854,0.650118203,34.9244,29.510935,192297.6595,380390.0824
"2","NR","2","2015",2015-10-19,"2015 b","NR_2_2015-10-19","Yoni Belmaker","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",1,2,NA,"Yoni Belmaker_2015","NR_2","C",0.02978,3,"NR_2_2015","Before",2.7,2.2,5.5,4.4,1.1,4.66,2.202978941,10.27554193,11.69811321,3.773584906,15.471698116,0.188679245,34.924577,29.510887,192314.8171,380384.7172
"3","NR","3","2015",2015-10-19,"2015 b","NR_3_2015-10-19","Shahar Malamud","Pseudochromis fridmani","Pseudochromis fridmani","Pseudochromidae",1,2,NA,"Shahar Malamud_2015","NR_3","C",0.00501,3.1,"NR_3_2015","Before",3.5,2.8,6.4,4.3,2.1,7.7,2.146869946,16.52113033,30.58375635,9.517766497,40.101522847,0.634517766,34.924638,29.510723,192320.6794,380366.4404
"4","NR","4","2015",2015-10-19,"2015 b","NR_4_2015-10-19","Lior Avidan","Ostracion spp.","Ostracion spp.","Ostraciidae",1,4,NA,"Lior Avidan_2015","NR_4","T",0.101,2.588,"NR_4_2015","Before",3.5,3.2,4.3,3.1,1.2,8.79,1.809195943,19.3,53.29268293,1.097560976,54.390243906,0.731707317,34.924123,29.510698,192270.7935,380363.8793
"5","NR","5","2015",2015-10-19,"2015 b","NR_5_2015-10-19","Shahar Malamud","Pseudochromis fridmani","Pseudochromis fridmani","Pseudochromidae",1,4,NA,"Shahar Malamud_2015","NR_5","C",0.00501,3.1,"NR_5_2015","Before",3.7,2.4,8.2,6.5,1.7,6.97,2.157338172,15.04316222,42.87856072,8.095952024,50.974512744,0.299850075,34.924712,29.510428,192327.7529,380333.7754
"6","NR","6","2015",2015-10-19,"2015 b","NR_6_2015-10-19","Lior Avidan","Ostracion spp.","Ostracion spp.","Ostraciidae",1,4,NA,"Lior Avidan_2015","NR_6","T",0.101,2.588,"NR_6_2015","Before",2.8,2.5,4.6,3.3,1.3,5.5,2.015005566,11.07598185,19.70954357,0.622406639,20.331950209,0,34.924001,29.510329,192258.8628,380322.9174
"7","NR","7","2015",2015-10-19,"2015 b","NR_7_2015-10-19","Shahar Malamud","Ostracion spp.","Ostracion spp.","Ostraciidae",1,2,NA,"Shahar Malamud_2015","NR_7","T",0.101,2.588,"NR_7_2015","Before",4,2.6,7,4.8,2.2,8.17,2.207532988,18.0280389,61.76470588,10.10230179,71.86700767,0.255754476,34.924228,29.509929,192280.7357,380278.5753
"8","NR","8","2015",2015-10-19,"2015 b","NR_8_2015-10-19","Yoni Belmaker","Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus","Cirrhitidae",1,4,NA,"Yoni Belmaker_2015","NR_8","C",0.0138,3.117,"NR_8_2015","Before",6.4,4.4,8.2,6.6,1.6,22.11,1.794988121,39.69192611,35.63295378,21.36637642,56.9993302,0.133958473,34.924184,29.509539,192276.3929,380235.3626
"9","NR","9","2015",2015-10-19,"2015 b","NR_9_2015-10-19","Yoni Belmaker","Pseudochromis fridmani","Pseudochromis fridmani","Pseudochromidae",1,2,NA,"Yoni Belmaker_2015","NR_9","C",0.00501,3.1,"NR_9_2015","Before",2.9,2.8,8,6.6,1.4,6.38,2.261502615,14.41986082,50.65789474,14.30921053,64.96710527,0.164473684,34.924093,29.509431,192267.4847,380223.4001
"10","NR","10","2015",2015-10-19,"2015 b","NR_10_2015-10-19","Lior Avidan","Amblyglyphidodon spp.","Amblyglyphidodon spp.","Pomacentridae",1,4,NA,"Lior Avidan_2015","NR_10","C",0.0273963636363636,2.95906060606061,"NR_10_2015","Before",4.1,3.5,6.2,4.3,1.9,11.27,2.362445966,26.62083847,17.99204771,10.53677932,28.52882703,1.789264414,34.92343,29.508892,192203.0911,380163.8424
