,Intercept,Depth,Coral cover (%),Broken coral colonies (%),Site,Coral cover * Broken coral colonies,df,logLik,AICc,delta,weight,,,,,,,,,,,,
Model 1,1.192,-0.247,NA,NA,+,NA,6,27.277,-40.009,0.000,0.066,,,,,,,,,,,,
Model 2,0.990,-0.196,NA,0.002,+,NA,7,28.641,-39.783,0.227,0.059,,,,,,,,,,,,
Model 3,1.258,-0.226,-0.003,NA,+,NA,7,28.281,-39.062,0.947,0.041,,,,,,,,,,,,
Model 4,1.057,-0.176,-0.003,0.002,+,NA,8,29.682,-38.719,1.290,0.035,,,,,,,,,,,,
Model 5,1.074,NA,-0.012,-0.003,+,0.00014088,8,29.573,-38.500,1.509,0.031,,,,,,,,,,,,
Model 6,1.268,-0.147,-0.010,-0.002,+,0.000116315,9,31.025,-38.051,1.959,0.025,,,,,,,,,,,,
,,,,,,,,,,,,,,Predictors,,,,,Model selection,,,,
,,,,,,,,,,,,,,Site,Depth (m),Coral cover (%),Broken coral colonies (%),Coral cover (%) * Broken coral colonies (%),df,logLik,AICc,delta,weight
,,,,,,,,,,,,,Model 1,+,+,-,-,-,6,27.277,-40.009,0.000,0.066
,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,,,,,,,Model 2,+,+,-,+,-,7,28.641,-39.783,0.227,0.059
Intercept,1.19205014,0.990097454,1.257658577,1.057054379,1.074387248,1.268068468,,,,,,,Model 3,+,+,+,-,-,7,28.281,-39.062,0.947,0.041
Site,+,+,+,+,+,+,,,,,,,Model 4,+,+,+,+,-,8,29.682,-38.719,1.290,0.035
Depth,-0.246604165,-0.19573201,-0.225699118,-0.175769717,NA,-0.147121955,,,,,,,Model 5,+,-,+,+,+,8,29.573,-38.500,1.509,0.031
Broken coral colonies (%),NA,0.001842687,NA,0.001820738,-0.002543729,-0.002277988,,,,,,,Model 6,+,+,+,+,+,9,31.025,-38.051,1.959,0.025
Coral cover (%),NA,NA,-0.003127536,-0.003077148,-0.012245624,-0.010192307,,,,,,,,,,,,,,,,,
Coral cover * Broken coral colonies,NA,NA,NA,NA,0.00014088,0.000116315,,,,,,,,,,,,,,,,,
df,6,7,7,8,8,9,,,,,,,,,,,,,,,,,
logLik,27.27745076,28.64130874,28.28109396,29.68219299,29.57257258,31.025416,,,,,,,,,,,,,,,,,
AICc,-40.00944697,-39.78261748,-39.06218792,-38.71922469,-38.49998388,-38.05083199,,,,,,,,,,,,,,,,,
delta,0,0.226829484,0.947259048,1.290222278,1.509463093,1.958614975,,,,,,,,,,,,,,,,,
weight,0.0658738,0.058810832,0.041022113,0.034557675,0.030969698,0.024740295,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,,,,,,,,,,,,,,,,,
Site,+,+,+,+,+,+,,,,,,,,,,,,,,,,,
Depth,+,+,+,+,NA,-0.147121955,,,,,,,,,,,,,,,,,
Broken coral colonies (%),NA,+,NA,+,+,-0.002277988,,,,,,,,,,,,,,,,,
Coral cover (%),NA,NA,+,+,+,-0.010192307,,,,,,,,,,,,,,,,,
Coral cover * Broken coral colonies,NA,NA,NA,NA,+,0.000116315,,,,,,,,,,,,,,,,,
df,6,7,7,8,8,9,,,,,,,,,,,,,,,,,
logLik,27.27745076,28.64130874,28.28109396,29.68219299,29.57257258,31.025416,,,,,,,,,,,,,,,,,
AICc,-40.00944697,-39.78261748,-39.06218792,-38.71922469,-38.49998388,-38.05083199,,,,,,,,,,,,,,,,,
delta,0,0.226829484,0.947259048,1.290222278,1.509463093,1.958614975,,,,,,,,,,,,,,,,,
weight,0.0658738,0.058810832,0.041022113,0.034557675,0.030969698,0.024740295,,,,,,,,,,,,,,,,,
