Model,Site,Depth (m),Broken coral colonies (%),Coral cover (%),Surface area m2,Coral cover (%) * Broken coral colonies (%),Depth (m) * Surface area (m2),df,logLik,AICc,delta,weight,R2,,,,,,,,,,,,,
1,+,+,-,-,-,-,-,6,27.27745076,-40.00944697,0,0.0658738,,,,,,,,,,,,,,
2,+,+,+,-,-,-,-,7,28.64130874,-39.78261748,0.226829484,0.058810832,,,,,,,,,,,,,,
3,+,+,-,+,-,-,-,7,28.28109396,-39.06218792,0.947259048,0.041022113,,,,,,,,,,,,,,
4,+,+,+,+,-,-,-,8,29.68219299,-38.71922469,1.290222278,0.034557675,,,,,,,,,,,,,,
5,+,-,+,+,-,+,-,8,29.57257258,-38.49998388,1.509463093,0.030969698,,,,,,,,,,,,,,
6,+,+,+,+,-,+,-,9,31.025416,-38.05083199,1.958614975,0.024740295,,,,,,,,,,,,,,
7,+,-,+,-,-,-,-,6,26.25619328,-37.96693201,2.042514957,0.023723908,,,,,,,,,,,,,,
8,+,-,+,+,-,-,-,7,27.68759438,-37.87518875,2.134258217,0.022660236,,,,,,,,,,,,,,
9,+,+,-,-,+,-,+,8,29.24867015,-37.85217901,2.157267963,0.022401027,,,,,,,,,,,,,,
10,+,+,-,-,+,-,-,7,27.61098182,-37.72196363,2.287483337,0.020989013,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Model/predictors ,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,,,,,,,Site,+,+,+,+,+,+,+,+,+,+
,,,,,,,,,,,,,,,,Depth (m)  ,+,+,+,+,-,+,-,-,+,+
,,,,,,,,,,,,,,,,Broken coral colonies (%),-,+,-,+,+,+,+,+,-,-
,,,,,,,,,,,,,,,,Coral cover (%),-,-,+,+,+,+,-,+,-,-
,,,,,,,,,,,,,,,,Surface area m2,-,-,-,-,-,-,-,-,+,+
,,,,,,,,,,,,,,,,Coral cover (%) * Broken coral colonies (%),-,-,-,-,+,+,-,-,-,-
,,,,,,,,,,,,,,,,Depth (m) * Surface area (m2),-,-,-,-,-,-,-,-,+,-
,,,,,,,,,,,,,,,,df,6,7,7,8,8,9,6,7,8,7
,,,,,,,,,,,,,,,,logLik,27.28,28.64,28.28,29.68,29.57,31.03,26.26,27.69,29.25,27.61
,,,,,,,,,,,,,,,,AICc,-40.01,-39.78,-39.06,-38.72,-38.50,-38.05,-37.97,-37.88,-37.85,-37.72
,,,,,,,,,,,,,,,,delta,0.00,0.23,0.95,1.29,1.51,1.96,2.04,2.13,2.16,2.29
,,,,,,,,,,,,,,,,weight,0.07,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02
,,,,,,,,,,,,,,,,R2,0.63,0.6597,0.65,0.68,0.68,0.70,0.62,0.65,0.67,
