"","(Intercept)","log(mean_Max_depth)","mean_Complexity","mean_coral_cover","mean_Surface_Area","precentage","Site","df","logLik","AICc","delta","weight"
"34",1.19205014016752,-0.246604164780788,NA,NA,NA,NA,"+",6,27.2774507569217,-40.0094469683888,0,0.153971517532084
"50",0.990097454451678,-0.195732009703228,NA,NA,NA,0.00184268684512357,"+",7,28.6413087423587,-39.7826174847174,0.226829483671374,0.1374627391499
"38",1.25765857721057,-0.225699117966376,NA,-0.00312753638509093,NA,NA,"+",7,28.2810939603039,-39.0621879206077,0.947259047781081,0.0958839024683787
"54",1.05705437870331,-0.175769717393532,NA,-0.00307714836283163,NA,0.0018207381253948,"+",8,29.682192990283,-38.7192246902435,1.29022227814531,0.0807741101418219
"49",0.633895739686756,NA,NA,NA,NA,0.00270223737704649,"+",6,26.256193278311,-37.9669320111675,2.04251495722129,0.0554515771208301
"53",0.760208231782833,NA,NA,-0.00376319500584434,NA,0.00256818695357295,"+",7,27.6875943758173,-37.8751887516347,2.13425821675413,0.0529653817620884
"42",1.22456591190294,-0.2477771299064,NA,NA,-0.001642593915308,NA,"+",7,27.6109818155843,-37.7219636311686,2.28748333722022,0.0490591133357043
"58",1.01947822582001,-0.195157965209364,NA,NA,-0.00186666025305089,0.0019117625380445,"+",8,29.1018933665756,-37.5586254428286,2.45082152556024,0.0452117437892545
"36",1.24394140989255,-0.24444820033662,-0.0252012904260468,NA,NA,NA,"+",7,27.3532153216425,-37.206430643285,2.80301632510382,0.0379116886300418
"52",0.997296085485697,-0.195782888545514,-0.00291686606075457,NA,NA,0.00183180520086902,"+",8,28.6423440920983,-36.639526893874,3.36992007451479,0.0285543016915443
"46",1.28853192999812,-0.227046113445983,NA,-0.00309618567427039,-0.00159284726012139,NA,"+",8,28.6107328637121,-36.5763044371017,3.43314253128711,0.0276657827154513
"62",1.08480500500684,-0.175455401585939,NA,-0.00303955783736061,-0.00181505858479661,0.00188817242664842,"+",9,30.1407443345417,-36.2814886690835,3.72795829930534,0.0238739638044694
"40",1.30500028681262,-0.223836625258783,-0.0231748392005764,-0.00310956721958877,NA,NA,"+",8,28.3484128153794,-36.0516643404362,3.95778262795263,0.021282312320363
"57",0.664816140912401,NA,NA,NA,-0.00189702691958414,0.00276987488052232,"+",7,26.6780211499967,-35.8560422999935,4.15340466839533,0.0192992319545901
"61",0.788723253556407,NA,NA,-0.00372405709429191,-0.00183004859095366,0.00263483052849384,"+",8,28.1091216455805,-35.5730820008384,4.43636496755041,0.0167531307364172
"56",1.05974405617567,-0.175793622330881,-0.00109634846273565,-0.00307641132694416,NA,0.00181665335107385,"+",9,29.6823470082784,-35.3646940165568,4.64475295183203,0.0150954165544293
"37",0.945877167084912,NA,NA,-0.00415481776842967,NA,NA,"+",6,24.9285145618626,-35.3115745782707,4.69787239011815,0.0146997639988913
"33",0.816416358370728,NA,NA,NA,NA,NA,"+",5,23.403832051586,-35.042958220819,4.96648874756978,0.0128523061277369
"44",1.32382501327727,-0.244272025859421,-0.0443335496916521,NA,-0.0020453714011103,NA,"+",8,27.8299143441394,-35.0146673979563,4.99477957043249,0.0126717847543413
"51",0.636481856326147,NA,-0.00106154150640099,NA,NA,0.00269835851058884,"+",7,26.2563150083647,-35.0126300167295,4.99681695165931,0.012658882698874
"55",0.757951316643733,NA,0.000933967415059377,-0.00376374339464781,NA,0.00257158013064812,"+",8,27.6876955650586,-34.7302298397946,5.27921712859418,0.010991904748584
"60",1.07709082230685,-0.195484708786961,-0.022119196091695,NA,-0.00205877856217085,0.00183635411934742,"+",9,29.1579596717466,-34.3159193434932,5.69352762489558,0.00893524726309263
"26",1.08528864742503,-0.302975466572782,NA,NA,-0.00442901383830089,0.00314559568824665,NA,5,22.7310394797391,-33.6973730771252,6.31207389126358,0.00655829518329501
"48",1.38097196288829,-0.224019016271128,-0.041654726344561,-0.00305642658926582,-0.00197192601385497,NA,"+",9,28.813662866584,-33.6273257331681,6.38212123522071,0.00633257544404112
"30",1.18160284275213,-0.282613538896953,NA,-0.00363361578242049,-0.00427318747450893,0.00314001725384343,NA,6,24.0488559610532,-33.5522573766519,6.45718959173693,0.00609929285072853
"45",0.972945948386658,NA,NA,-0.00413128768961095,-0.00148612741426898,NA,"+",7,25.1707445127432,-32.8414890254865,7.16795794290231,0.00427501949565964
"59",0.717434379748316,NA,-0.0204120936374229,NA,-0.00207436495118924,0.00270161210456315,"+",8,26.7203085644589,-32.7954558385952,7.21399112979356,0.00417774684671723
"64",1.13563109066967,-0.175854286487166,-0.0196518823635686,-0.00302280567376364,-0.00198603121042129,0.0018213055495818,"+",10,30.187316304494,-32.7884257124363,7.22102125595249,0.00416308758223442
"41",0.845248293241989,NA,NA,NA,-0.00154118375588923,NA,"+",6,23.6452666828628,-32.7450788202711,7.26436814811768,0.00407382988290308
