"","Species","Species_2015","Family","Status"
"1","Abudefduf sexfasciatus","Abudefduf spp.","Pomacentridae","Transient"
"2","Abudefduf sordidus","Abudefduf spp.","Pomacentridae","Transient"
"3","Abudefduf spp.","Abudefduf spp.","Pomacentridae","Transient"
"4","Abudefduf vaigiensis","Abudefduf spp.","Pomacentridae","Transient"
"5","Acanthopagrus bifasciatus","Sparidae","Sparidae","Transient"
"6","Acanthurus gahhm","Acanthuridae","Acanthuridae","Transient"
"7","Acanthurus nigrofuscus","Acanthuridae","Acanthuridae","Transient"
"8","Acanthurus spp.","Acanthuridae","Acanthuridae","Transient"
"9","Aethaloperca rogaa","Serranidae","Serranidae","Transient"
"10","Aetobatus narinari","Aetobatidae","Aetobatidae","Transient"
"11","Alloblennius pictus","Blenniidae","Blenniidae","Reef associated"
"12","Aluterus scriptus","Monacanthidae","Monacanthidae","Transient"
"13","Amanses scopas","Monacanthidae","Monacanthidae","Transient"
"14","Amblyeleotris steinitzi","Gobiidae","Gobiidae","Reef associated"
"15","Amblyeleotris sungami","Gobiidae","Gobiidae","Reef associated"
"16","Amblyglyphidodon flavilatus","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"17","Amblyglyphidodon indicus","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"18","Amblyglyphidodon leucogaster","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"19","Amblyglyphidodon spp.","Amblyglyphidodon spp.","Pomacentridae","Reef associated"
"20","Amblygobius albimaculatus","Gobiidae","Gobiidae","Reef associated"
"21","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae","Reef associated"
"22","Anampses lineatus","Labridae","Labridae","Transient"
"23","Anampses meleagrides","Labridae","Labridae","Transient"
"24","Anampses spp.","Labridae","Labridae","Transient"
"25","Anampses twistii","Labridae","Labridae","Transient"
"26","Antennarius commerson","Antennariidae","Antennariidae","Reef associated"
"27","Apogon spp.","Apogonidae","Apogonidae","Reef associated"
"28","Apolemichthys xanthotis","Apolemichthys xanthotis","Pomacanthidae","Transient"
"29","Arothron diadematus","Arothron spp.","Tetraodontidae","Transient"
"30","Arothron hispidus","Arothron spp.","Tetraodontidae","Transient"
"31","Arothron spp.","Arothron spp.","Tetraodontidae","Transient"
"32","Aspidontus dussumieri","Blenniidae","Blenniidae","Reef associated"
"33","Aspidontus taeniatus","Aspidontus taeniatus","Blenniidae","Reef associated"
"34","Aspidontus tractus","Blenniidae","Blenniidae","Reef associated"
"35","Asterropteryx semipunctata","Gobiidae","Gobiidae","Reef associated"
"36","Atherinomorus lacunosus","Atherinidae","Atherinidae","Transient"
"37","Atrosalarias fuscus","Blenniidae","Blenniidae","Reef associated"
"38","Balistapus undulatus","Balistidae","Balistidae","Transient"
"39","Balistidae spp.","Balistidae","Balistidae","Transient"
"40","Blenniella periophthalmus","Blenniidae","Blenniidae","Reef associated"
"41","Bodianus anthioides","Bodianus anthioides","Labridae","Transient"
"42","Bodianus axillaris","Labridae","Labridae","Transient"
"43","Bodianus diana","Labridae","Labridae","Transient"
"44","Bryaninops natans","Gobiidae","Gobiidae","Reef associated"
"45","Caesio lunaris","Caesio spp.","Caesionidae","Transient"
"46","Caesio spp.","Caesio spp.","Caesionidae","Transient"
"47","Caesio varilineata","Caesio spp.","Caesionidae","Transient"
"48","Callionymus sp.","Callionymidae","Callionymidae","Reef associated"
"49","Calotomus viridescens","Scaridae","Scaridae","Transient"
"50","Cantherhines dumerilii","Monacanthidae","Monacanthidae","Transient"
"51","Cantherhines pardalis","Monacanthidae","Monacanthidae","Transient"
"52","Canthigaster coronata","Canthigaster spp.","Tetraodontidae","Transient"
"53","Canthigaster margaritata","Canthigaster spp.","Tetraodontidae","Transient"
"54","Canthigaster pygmaea","Canthigaster spp.","Tetraodontidae","Transient"
"55","Canthigaster spp.","Canthigaster spp.","Tetraodontidae","Transient"
"56","Centropyge multispinis","Centropyge multispinis","Pomacanthidae","Transient"
"57","Cephalopholis argus","Serranidae","Serranidae","Transient"
"58","Cephalopholis hemistiktos","Serranidae","Serranidae","Transient"
"59","Cephalopholis miniata","Serranidae","Serranidae","Transient"
"60","Cetoscarus bicolor","Scaridae","Scaridae","Transient"
"61","Chaetodon auriga","Chaetodon auriga","Chaetodontidae","Transient"
"62","Chaetodon austriacus","Chaetodon austriacus","Chaetodontidae","Transient"
"63","Chaetodon fasciatus","Chaetodon fasciatus","Chaetodontidae","Transient"
"64","Chaetodon melannotus","Chaetodon melannotus","Chaetodontidae","Transient"
"65","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae","Transient"
"66","Chaetodon trifascialis","Chaetodon trifascialis","Chaetodontidae","Transient"
"67","Cheilinus abudjubbe","Labridae","Labridae","Transient"
"68","Cheilinus lunulatus","Labridae","Labridae","Transient"
"69","Cheilio inermis","Labridae","Labridae","Transient"
"70","Cheilodipterus lachneri","Cheilodipterus spp.","Apogonidae","Reef associated"
"71","Cheilodipterus macrodon","Cheilodipterus spp.","Apogonidae","Reef associated"
"72","Cheilodipterus novemstriatus","Cheilodipterus spp.","Apogonidae","Reef associated"
"73","Cheilodipterus quinquelineatus","Cheilodipterus spp.","Apogonidae","Reef associated"
"74","Cheilodipterus spp.","Cheilodipterus spp.","Apogonidae","Reef associated"
"75","Chlorurus gibbus","Scaridae","Scaridae","Transient"
"76","Chlorurus sordidus","Scaridae","Scaridae","Transient"
"77","Chromis dimidiata","Chromis dimidiata","Pomacentridae","Reef associated"
"78","Chromis flavaxilla","Chromis spp.","Pomacentridae","Reef associated"
"79","Chromis pelloura","Chromis spp.","Pomacentridae","Reef associated"
"80","Chromis pembae","Chromis spp.","Pomacentridae","Transient"
"81","Chromis spp.","Chromis spp.","Pomacentridae","Reef associated"
"82","Chromis ternatensis","Chromis spp.","Pomacentridae","Reef associated"
"83","Chromis viridis","Chromis viridis","Pomacentridae","Reef associated"
"84","Chromis weberi","Chromis spp.","Pomacentridae","Transient"
"85","Chrysiptera unimaculata","Pomacentridae","Pomacentridae","Reef associated"
"86","Cirrhilabrus rubriventralis","Labridae","Labridae","Transient"
"87","Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus","Cirrhitidae","Reef associated"
"88","Cirripectes castaneus","Blenniidae","Blenniidae","Reef associated"
"89","Coris aygula","Labridae","Labridae","Transient"
"90","Coris caudimacula","Coris caudimacula","Labridae","Transient"
"91","Coris cuvieri","Labridae","Labridae","Transient"
"92","Coris variegata","Labridae","Labridae","Transient"
"93","Corythoichthys flavofasciatus","Syngnathidae","Syngnathidae","Reef associated"
"94","Corythoichthys nigripectus","Syngnathidae","Syngnathidae","Reef associated"
"95","Corythoichthys schultzi","Syngnathidae","Syngnathidae","Reef associated"
"96","Crenimugil crenilabis","Mugilidae","Mugilidae","Transient"
"97","Cryptocentrus caeruleopunctatus","Gobiidae","Gobiidae","Reef associated"
"98","Ctenochaetus striatus","Acanthuridae","Acanthuridae","Transient"
"99","Ctenogobiops maculosus","Gobiidae","Gobiidae","Reef associated"
