,Species,abundance_2018,abundance_2021
1,Abudefduf sexfasciatus,8,6
2,Abudefduf vaigiensis,121,100
3,Acanthurus nigrofuscus,127,65
4,Aethaloperca rogaa,6,2
5,Amblyeleotris steinitzi,1,1
6,Amblyeleotris sungami,1,0
7,Amblyglyphidodon flavilatus,31,7
8,Amblyglyphidodon leucogaster,93,12
9,Amblygobius albimaculatus,3,0
10,Amphiprion bicinctus,36,18
11,Anampses twistii,3,0
12,Arothron diadematus,2,3
13,Arothron hispidus,1,0
14,Aspidontus tractus,1,5
15,Atherinomorus lacunosus,100,0
16,Atrosalarias fuscus,18,14
17,Balistapus undulatus,5,1
18,Bodianus anthioides,9,5
19,Bodianus diana,2,0
20,Caesio varilineata,3,0
21,Calotomus viridescens,12,11
22,Cantherhines dumerilii,1,0
23,Cantherhines pardalis,6,6
24,Canthigaster coronata,3,2
25,Canthigaster margaritata,1,0
26,Canthigaster pygmaea,6,0
27,Centropyge multispinis,46,16
28,Cephalopholis argus,5,0
29,Cephalopholis hemistiktos,30,29
30,Cephalopholis miniata,56,37
31,Cetoscarus bicolor,1,2
32,Chaetodon auriga,8,2
33,Chaetodon austriacus,15,16
34,Chaetodon fasciatus,10,9
35,Chaetodon melannotus,6,0
36,Chaetodon paucifasciatus,104,16
37,Chaetodon trifascialis,7,7
38,Cheilinus abudjubbe,3,4
39,Cheilinus lunulatus,12,13
40,Cheilio inermis,1,0
41,Cheilodipterus lachneri,11,120
42,Cheilodipterus macrodon,4,2
43,Cheilodipterus novemstriatus,672,556
44,Cheilodipterus quinquelineatus,336,157
45,Chlorurus gibbus,6,1
46,Chlorurus sordidus,39,5
47,Chromis dimidiata,324,382
48,Chromis flavaxilla,29,73
49,Chromis ternatensis,30,16
50,Chromis viridis,5329,3228
51,Chromis weberi,13,23
52,Chrysiptera unimaculata,2,0
53,Cirrhitichthys oxycephalus,3,4
54,Cirripectes castaneus,39,30
55,Coris aygula,3,58
56,Coris caudimacula,10,22
57,Coris variegata,2,1
58,Corythoichthys flavofasciatus,28,24
59,Corythoichthys schultzi,24,10
60,Crenimugil crenilabis,18,0
61,Cryptocentrus caeruleopunctatus,2,0
62,Ctenochaetus striatus,46,59
63,Ctenogobiops maculosus,1,0
64,Cyclichthys spilostylus,12,8
65,Dascyllus aruanus,8,2
66,Dascyllus marginatus,321,66
67,Dascyllus trimaculatus,80,111
68,Diplodus noct,1,3
69,Ecsenius aroni,56,28
70,Ecsenius frontalis,114,180
71,Ecsenius gravieri,46,38
72,Ecsenius nalolo,90,114
73,Epinephelus fasciatus,50,55
74,Epinephelus tauvina,4,8
75,Eviota guttata,28,231
76,Eviota prasina,1,20
77,Eviota sebreei,28,13
78,Exallias brevis,7,0
79,Fistularia commersonii,2,1
