"","Family","Species","Species_2015"
"1","Acanthuridae","Acanthurus gahhm","Acanthuridae"
"2","Acanthuridae","Acanthurus nigrofuscus","Acanthuridae"
"3","Acanthuridae","Acanthurus spp.","Acanthuridae"
"4","Acanthuridae","Ctenochaetus striatus","Acanthuridae"
"5","Acanthuridae","Zebrasoma desjardinii","Zebrasoma desjardinii"
"6","Acanthuridae","Zebrasoma xanthurum","Zebrasoma xanthurum"
"7","Aetobatidae","Aetobatus narinari","Aetobatidae"
"8","Antennariidae","Antennarius commerson","Antennariidae"
"9","Apogonidae","Apogon spp.","Apogonidae"
"10","Apogonidae","Cheilodipterus lachneri","Cheilodipterus spp."
"11","Apogonidae","Cheilodipterus macrodon","Cheilodipterus spp."
"12","Apogonidae","Cheilodipterus novemstriatus","Cheilodipterus spp."
"13","Apogonidae","Cheilodipterus quinquelineatus","Cheilodipterus spp."
"14","Apogonidae","Cheilodipterus spp.","Cheilodipterus spp."
"15","Apogonidae","Nectamia annularis","Apogonidae"
"16","Apogonidae","Nectamia zebrinus","Apogonidae"
"17","Apogonidae","Ostorhinchus cyanosoma","Apogonidae"
"18","Apogonidae","Ostorhinchus fleurieu","Apogonidae"
"19","Apogonidae","Ostorhinchus nigrofasciatus","Apogonidae"
"20","Apogonidae","Pristiapogon exostigma","Apogonidae"
"21","Apogonidae","Siphamia majimai","Apogonidae"
"22","Atherinidae","Atherinomorus lacunosus","Atherinidae"
"23","Balistidae","Balistapus undulatus","Balistidae"
"24","Balistidae","Balistidae spp.","Balistidae"
"25","Balistidae","Odonus niger","Balistidae"
"26","Balistidae","Pseudobalistes fuscus","Balistidae"
"27","Balistidae","Rhinecanthus assasi","Balistidae"
"28","Balistidae","Sufflamen albicaudatum","Balistidae"
"29","Belonidae","Tylosurus choram","Belonidae"
"30","Blenniidae","Alloblennius pictus","Blenniidae"
"31","Blenniidae","Aspidontus dussumieri","Blenniidae"
"32","Blenniidae","Aspidontus taeniatus","Aspidontus taeniatus"
"33","Blenniidae","Aspidontus tractus","Blenniidae"
"34","Blenniidae","Atrosalarias fuscus","Blenniidae"
"35","Blenniidae","Blenniella periophthalmus","Blenniidae"
"36","Blenniidae","Cirripectes castaneus","Blenniidae"
"37","Blenniidae","Ecsenius aroni","Blenniidae"
"38","Blenniidae","Ecsenius frontalis","Blenniidae"
"39","Blenniidae","Ecsenius gravieri","Ecsenius gravieri"
"40","Blenniidae","Ecsenius midas","Blenniidae"
"41","Blenniidae","Ecsenius nalolo","Blenniidae"
"42","Blenniidae","Exallias brevis","Blenniidae"
"43","Blenniidae","Meiacanthus nigrolineatus","Meiacanthus nigrolineatus"
"44","Blenniidae","Plagiotremus rhinorhynchos","Plagiotremus spp."
"45","Blenniidae","Plagiotremus spp.","Plagiotremus spp."
"46","Blenniidae","Plagiotremus tapeinosoma","Plagiotremus spp."
"47","Blenniidae","Plagiotremus townsendi","Plagiotremus townsendi"
"48","Blenniidae","Salarias fasciatus","Blenniidae"
"49","Caesionidae","Caesio lunaris","Caesio spp."
"50","Caesionidae","Caesio spp.","Caesio spp."
"51","Caesionidae","Caesio varilineata","Caesio spp."
"52","Callionymidae","Callionymus sp.","Callionymidae"
"53","Chaetodontidae","Chaetodon auriga","Chaetodon auriga"
"54","Chaetodontidae","Chaetodon austriacus","Chaetodon austriacus"
"55","Chaetodontidae","Chaetodon fasciatus","Chaetodon fasciatus"
"56","Chaetodontidae","Chaetodon melannotus","Chaetodon melannotus"
"57","Chaetodontidae","Chaetodon paucifasciatus","Chaetodon paucifasciatus"
"58","Chaetodontidae","Chaetodon trifascialis","Chaetodon trifascialis"
