Country,Project,Expedition,Location,Date,KnollID,First Observer.x,Second Observer.x,meta_to_deployment_id,First Observer.y,Second Observer.y,Knoll,Time Start,Time End,Notes,Observer,Species,Amount,Length,Confidence
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Gerres argyreus,10,16,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Abudefduf vaigiensis,7,13,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Abudefduf vaigiensis,3,10,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Zebrasoma xanthurum,2,16,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Scarus fuscopurpureus,1,32,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Epinephelus fasciatus,1,28,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Epinephelus fasciatus,1,22,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Epinephelus fasciatus,1,30,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Epinephelus fasciatus,1,17,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus trichrourus,7,2,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus trichrourus,1,8,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus trichrourus,1,1,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus trichrourus,1,6,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Acanthurus nigrofuscus,1,15,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Cantherhines pardalis,1,17,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus sulfureus,1,8,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus sulfureus,1,2,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus sulfureus,1,7,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Stethojulis albovittata,1,7,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Stethojulis albovittata,1,5,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Stethojulis albovittata,1,4,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Stethojulis albovittata,1,6,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Chromis dimidiata,2,4,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Coris aygula,4,4,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Coris aygula,1,5,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Thalassoma rueppellii,7,4,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Thalassoma rueppellii,1,6,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Thalassoma rueppellii,5,5,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pseudochromis fridmani,1,5,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Pomacentrus trilineatus,4,2,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Gomphosus caeruleus,1,7,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Gomphosus caeruleus,1,4,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Gomphosus caeruleus,1,5,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Apogon cyanosoma,4,2,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Apogon cyanosoma,2,3,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Apogon cyanosoma,20,2,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,first,Apogon cyanosoma,10,3,0
