Country,Project,Expedition,Location,Date,KnollID,First Observer.x,Second Observer.x,meta_to_deployment_id,First Observer.y,Second Observer.y,Knoll,Time Start,Time End,Notes,Observer,Species,Amount,Length,Confidence,Latitude,Longitude
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Abudefduf vaigiensis,1,4,1,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Acanthurus nigrofuscus,1,14,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Acanthurus nigrofuscus,1,11,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Lotilia graciliosa,1,4,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Pseudochromis fridmani,1,3,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Pomacentrus sulfureus,2,7,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Cheilodipterus quinquelineatus,20,6,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Cheilodipterus quinquelineatus,2,5,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Cheilodipterus quinquelineatus,3,4,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Cheilodipterus quinquelineatus,10,4,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Zebrasoma xanthurum,1,17,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Gomphosus caeruleus,1,4,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Gomphosus caeruleus,1,2,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Gomphosus caeruleus,1,10,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Ctenochaetus striatus,1,17,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Apogon cyanosoma,1,6,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Pseudocheilinus hexataenia,1,6,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Cephalopholis miniata,1,12,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Stethojulis albovittata,1,10,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Thalassoma rueppellii,1,11,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Thalassoma rueppellii,3,5,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Pomacentrus trilineatus,1,9,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Istigobius decoratus,4,5,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Istigobius decoratus,1,4,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Cephalopholis hemistiktos,1,15,,,
Israel,EcoCamp,EcoCamp October 2020,Princess,2020-10-13 00:00:00,1,Hezi Buba,Shahar Chaikin,Hezi Buba and Shahar Chaikin - 1,Hezi Buba,Shahar Chaikin,1,15:52,16:06,,first,Centropyge multispinis,1,10,,,
