#,FB Codes,Class,Order,Family,Genus,Species,Name,FoodTroph,FoodSeTroph,Vulnerability,Status,GASPAR-OK,Herbivory,Size-FishBase,Size_type,Depth_min-FB,Depth_max-FB,Geog-Range-Index,Size-Class,Home-Range,Activity,Schooling,Level-water,Diets,Diet Specialization (corals),"Diet Specialisr 
(non coral)","Habitat Specialization
(corals)",Sponge-association (food or habitat),Classification IRD,%C-FB,%C1-FB,%C2-FB,%CO-FB,%D-FB,%H-FB,%H2-FB,%P-FB,%Z-FB,Evaluation,Commentaires-FB
1,58334,Actinopterygii,Tetraodontiformes,Balistidae,Abalistes,stellatus,abalistes stellatus,NA,NA,44,native,YES,Non-Herbivore,60,TL,7,350,56,S5,Sed,Day,Sol,Bottom,IM,NS,0,no,0,0,0,0,0,0,0,0,0,0,0,NO,"Inhabits mud and silt sand bottoms (Ref. 11441, 48637).  Adults on deep coastal slopes and usually seen swimming high above the bottom, sometimes found in estuaries.  Juveniles in sheltered coastal bays and estuaries with outcrops of rubble or debris on o"
2,5688,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,sexfasciatus,abudefduf sexfasciatus,3,0,29,native,YES,OM,16,TL,1,20,92,S3,Sed,Day,MedG,Low,PK,NS,0,no,0,ZH2,7,7,4,4,0,22,0,15,41,NO,"Inhabits inshore and offshore coral or rocky reefs.  Also in shallow coastal reef flats or crests, usually where lots of tall soft corals or hydroid colonies are present (Ref. 48636).  Feeds on zooplankton and algae and aggregates high in the water column"
3,5689,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,sordidus,abudefduf sordidus,3,0,32,native,YES,OM,23,TL,0,3,106,S3,Sed,Day,MedG,Low,OM,NS,0,no,0,C1,30,23,13,13,0,10,0,0,10,NO,"Inhabit rocky lagoons, reef flat shorelines and piers subject to mild surge; juveniles are common in tide pools (Ref. 9710).  Benthopelagic (Ref. 58302).  Occasionally form schools.  Feed on algae, crustaceans and other invertebrates during the day.  High"
4,6630,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,vaigiensis,abudefduf vaigiensis,3,0,16,introduced,YES,OM,20,TL,1,15,105,S3,Sed,Day,MedG,Low,PK,NS,0,no,0,C2H,17,8,25,0,0,25,0,25,0,NO,"Adults inhabit upper edge of outer reef slopes and inshore rocky reefs.  Juveniles associated with drifting seaweed (Ref. 12114, 12115).  Benthopelagic (Ref. 58302).  Feed on  zooplankton, benthic algae, and small invertebrates (Ref. 1602).  Often in aggr"
5,4543,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,bifasciatus,acanthopagrus bifasciatus,3,0,37,introduced,YES,Non-Herbivore,50,TL,2,20,22,S4,VMob,Both,MedG,Bottom,IM,NS,0,no,0,0,0,0,0,0,0,0,0,0,0,NO,"Inhabits shallow coastal waters, mainly around reefs (Ref. 30573).  Enters estuaries and bays (Ref. 30573).  Occurs in small groups.  (Ref. 9710).  Marketed fresh or dried."
6,17471,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,gahhm,acanthurus gahhm,3,0,33,native,YES,g-g,40,TL,1,40,10,S4,Mob,Day,SmallG,Bottom,HD,NS,0,Linked,0,0,0,0,0,0,0,0,0,0,0,NO,Often found in large groups in open areas near coral or rock (Ref. 9710).  Caught with nets (Ref. 30573).  Minimum depth reported taken from Ref. 275.
7,4739,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,nigrofuscus,acanthurus nigrofuscus,2,0,27,native,YES,g-g,21,TL,0,25,103,S3,Sed,Day,SmallG,Bottom,HD,NS,0,no,0,H,0,0,0,0,0,100,0,0,0,NO,"Found on hard substrates of shallow lagoon and seaward reefs from the lower surge zone to a depth of more than 15 m (Ref. 27825).  Benthopelagic (Ref. 58302).  Feed on filamentous algae.  Form spawning aggregations (Ref. 27825, 48637).  Adults usually in"
8,4740,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,sohal,acanthurus sohal,2,0,33,native,YES,g-g,40,TL,0,20,10,S4,Mob,Day,SmallG,Bottom,HD,NS,0,Linked,0,0,0,0,0,0,0,0,0,0,0,NO,"A common species found in seaward edges of reefs exposed to surge (Ref. 9710).  Aggressive and territorial (Ref. 9710).  Feeds on various kinds of algae, mainly <i>Sargassum</i>, and fine filamentous green algae.  Caught with nets (Ref. 30573)."
9,7986,Actinopterygii,Syngnathiformes,Centriscidae,Aeoliscus,punctulatus,aeoliscus punctulatus,3,0,24,native,YES,Non-Herbivore,15,TL,NA,NA,13,S2,Mob,Day,SmallG,Low,PK,NS,0,no,0,0,0,0,0,0,0,0,0,0,0,NO,"Found in small groups near or among long-spined sea urchins and branching corals.  Feeds on planktonic crustaceans (Ref. 9710).  Swims vertically, with a head-down position  (Ref. 5462)."
10,6441,Actinopterygii,Perciformes,Serranidae,Aethaloperca,rogaa,aethaloperca rogaa,4,1,49,native,YES,Non-Herbivore,60,TL,1,60,80,S5,Mob,Both,Sol,Bottom,FC,NS,0,no,0,0,0,0,0,0,0,0,0,0,0,NO,"Found in coastal reefs and lagoons, often silty habitat (Ref. 48635), in or near caves and holes in the reef.  Feeds mainly on small fishes (including <i>Pempheris</i> sp.), also on stomatopods (<i>Pseudosquilla</i> sp.) (Ref. 6448); and crustaceans (Ref."
