Trip date,Location,SiteNo,Right observer,Left observer,Direction,Number_Ind,Length,Species,Family,Order
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,45,Scaridae spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,36,Scaridae spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,8,Scaridae spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,20,Heniochus intermedius,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,22,Zebrasoma xanthurum,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,40,Cephalopholis miniata,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,32,Cephalopholis miniata,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,2,6,Amphiprion bicinctus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,3,4,Pseudocheilinus hexataenia,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,5,Pseudocheilinus hexataenia,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,10,Synodontidae spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,2,10,Parupeneus forsskali,Mullidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,110,4,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,22,Diodon holocanthus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,100,4,Pseudanthias spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,100,6,Pseudanthias spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,100,3,Pseudanthias spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,11,8,Dascyllus trimaculatus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,4,3,Dascyllus marginatus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,4,Meiacanthus nigrolineatus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,4,Thalassoma rueppellii,Labridae ,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,2,6,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,15,4,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,1,8,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Left,9,3,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,10,10,Dascyllus trimaculatus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,6,12,Dascyllus trimaculatus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,10,6,Neopomacentrus miryae,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,40,1,Neopomacentrus miryae,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,10,4,Neopomacentrus miryae,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,100,2,Neopomacentrus miryae,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,30,10,Pseudanthias squamipinnis,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,30,8,Pseudanthias squamipinnis,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,25,Cephalopholis miniata,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,40,Cephalopholis miniata,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,2,12,Zebrasoma xanthurum,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,4,Zebrasoma xanthurum,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,25,Zebrasoma xanthurum,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,50,4,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,15,6,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,10,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,12,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,100,4,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,30,6,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,6,8,Pomacentrus trichourus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,10,Pomacentrus trichourus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,4,6,Thalassoma spp.,Labridae ,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,10,Thalassoma spp.,Labridae ,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,2,4,Dascyllus marginatus,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,2,6,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,12,Synodontidae spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,2,6,Chromis spp.,Pomacentridae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,15,Abudefduf spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,6,12,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,25,Arothron spp.,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,2,10,Labroides dimidiatus,,
