Site,Date,Observer,Knoll,Species,Length_cm,Number_Ind
NR,19.10.15,Yoni Belmaker,1,Labrid spp. ,2,1
NR,19.10.15,Yoni Belmaker,1,Larabicus quadrilineatus,2,1
NR,19.10.15,Yoni Belmaker,1,Amphiprion bicinctus,4,1
NR,19.10.15,Yoni Belmaker,1,Canthigaster spp.,4,1
NR,19.10.15,Yoni Belmaker,1,Plagiotremus townsendi,4,1
NR,19.10.15,Yoni Belmaker,1,Pseudocheilinus hexataenia,4,1
NR,19.10.15,Yoni Belmaker,1,Pseudochromis olivaceus,4,1
NR,19.10.15,Yoni Belmaker,1,Zebrasoma xanthurum,4,1
NR,19.10.15,Yoni Belmaker,1,Acanthurus spp.,8,1
NR,19.10.15,Yoni Belmaker,1,Amphiprion bicinctus,8,1
NR,19.10.15,Yoni Belmaker,1,Coris caudimacula,8,1
NR,19.10.15,Yoni Belmaker,1,Ecsenius gravieri,8,1
NR,19.10.15,Yoni Belmaker,1,Labrid spp. ,8,1
NR,19.10.15,Yoni Belmaker,1,Plagiotremus spp.,8,1
NR,19.10.15,Yoni Belmaker,1,Scaridae spp.,8,1
NR,19.10.15,Yoni Belmaker,1,Balistidae spp.,16,1
NR,19.10.15,Yoni Belmaker,1,Serranidae spp,16,1
NR,19.10.15,Yoni Belmaker,1,Zebrasoma xanthurum,32,1
NR,19.10.15,Yoni Belmaker,1,Scaridae spp.,64,1
NR,19.10.15,Yoni Belmaker,1,Variola louti,64,1
NR,19.10.15,Yoni Belmaker,1,Ostracion spp.,2,2
NR,19.10.15,Yoni Belmaker,1,Acanthurus spp.,4,2
NR,19.10.15,Yoni Belmaker,1,Thalassoma spp.,8,2
NR,19.10.15,Yoni Belmaker,1,Acanthurus spp.,16,2
NR,19.10.15,Yoni Belmaker,1,Thalassoma spp.,16,2
NR,19.10.15,Yoni Belmaker,1,Serranidae spp,32,2
NR,19.10.15,Yoni Belmaker,1,Zebrasoma veliferum,32,2
NR,19.10.15,Yoni Belmaker,1,Thalassoma spp.,4,3
NR,19.10.15,Yoni Belmaker,1,Dascyllus marginatus,8,3
NR,19.10.15,Yoni Belmaker,1,Synodontidae spp.,16,3
NR,19.10.15,Yoni Belmaker,1,Centropyge multispinis,8,4
NR,19.10.15,Yoni Belmaker,1,Pseudochromis olivaceus,8,4
