First Observer,Knoll,Notes,Second Observer,Time End,Time Start,column_to_join_by,Observer,Species,Amount,Length,Confidence,meta_to_site_identifier,Date,Location,Start,End,Country,Project,Reserve,KnollID,Lat(N),Lon(E)
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Zebrasoma xanthurum,1,15,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Zebrasoma desjardinii,1,25,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Chaetodon auriga,2,15,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Chlorurus gibbus,1,40,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Dascyllus trimaculatus,1,7,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Dascyllus trimaculatus,1,12,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Thalassoma rueppellii,1,10,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Dascyllus trimaculatus,1,9,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Dascyllus trimaculatus,1,8,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Dascyllus trimaculatus,1,6,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Pseudanthias squamipinnis,1,9,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Pseudanthias squamipinnis,1,3,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Chromis dimidiata,2,3,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Thalassoma rueppellii,1,12,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Epinephelus fasciatus,1,22,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Thalassoma rueppellii,1,3,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Coris aygula,1,3,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Pseudochromis olivaceus,1,4,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Pseudochromis olivaceus,1,3,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,first,Tripterygiidae sp.,1,2,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Lethrinus borbonicus,1,28,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Zebrasoma xanthurum,1,20,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Dascyllus trimaculatus,1,16,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Zebrasoma desjardinii,1,30,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Chaetodon auriga,2,15,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Thalassoma rueppellii,1,22,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Thalassoma rueppellii,1,24,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Chlorurus gibbus,1,40,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Epinephelus fasciatus,1,36,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Cephalopholis hemistiktos,1,18,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Chromis dimidiata,1,5,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Chromis dimidiata,1,4,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Pomacentrus trichourus,1,8,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Pseudanthias squamipinnis,1,6,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
