Site,Knoll,Diameter,perpendicular diameter,Max depth,Min depth,Hight,Mean Comp. Ind.,projected area (ellipse),Surface Area
NR,1,6.7,4,4.7,3.1,1.6,2.110612694,21.0447,44.41721095
NR,2,2.7,2.2,5.5,4.4,1.1,2.202978941,4.664385,10.27554193
NR,3,3.5,2.8,6.4,4.3,2.1,2.146869946,7.69545,16.52113033
NR,4,3.5,3.2,4.3,3.1,1.2,1.809195943,10.54,19.3
NR,5,3.7,2.4,8.2,6.5,1.7,2.157338172,6.97302,15.04316222
NR,6,2.8,2.5,4.6,3.3,1.3,2.015005566,5.49675,11.07598185
NR,7,4,2.6,7,4.8,2.2,2.207532988,8.1666,18.0280389
NR,8,6.4,4.4,8.2,6.6,1.6,1.794988121,22.11264,39.69192611
NR,9,2.9,2.8,8,6.6,1.4,2.261502615,6.37623,14.41986082
NR,10,4.1,3.5,6.2,4.3,1.9,2.362445966,11.2683375,26.62083847
NR,11,4.5,4.3,5.4,3.4,2,2.090716733,15.1945875,31.76757833
NR,12,6.4,4.3,4.3,2.1,2.2,2.73600724,4.1225625,11.27936085
NR,13,5.5,3.4,4.4,3.1,1.3,2.155200154,4.318875,9.308040064
NR,14,5.4,3.4,4.4,2.7,1.7,2.428062355,2.54421,6.177500525
NR,15,6,4.4,3.9,1.8,2.1,2.162405212,3.01536,6.520430181
NR,16,6.8,6.3,9,6.9,2.1,1.929829933,9.847035,19.0031029
NR,17,5.6,4,6.3,4.4,1.9,2.075213346,16.74153,34.74224649
Caves,1,1,4.5,2.6,4,2.4,2.102207605,9.187425,19.3138747
Caves,2,2,3.7,3.6,4.7,3.1,1.926342028,10.45953,20.14863224
Caves,3,3,2.6,2.5,4.9,3.5,2.261095601,5.104125,11.54091458
Caves,4,4,3.8,3.6,4.1,2.4,2.17855391,10.74222,23.40250538
Caves,5,5,3.6,2.8,2.8,1.5,2.141629126,7.91532,16.95167985
Caves,6,6,4.9,2.8,4.1,3,1.786807706,10.77363,19.2504051
Caves,7,7,4.9,3.7,5.2,4,2.07680733,14.2365825,29.5666389
Caves,8,8,3.3,2.6,5.6,4.5,2.105917601,6.737445,14.18850401
Caves,9,9,3.8,1.7,3.4,2,2.19126089,5.072715,11.11564199
Caves,10,10,3.3,2.4,4,3.1,1.946901637,6.21918,12.10813172
