Species
Fistularia commersonii
Sphyraena barracuda
Sphyraena flavicauda 
Scolopsis ghanam
Mugilidae spp.
Caesio spp.
Lethrinus spp.
Scaridae spp.
Siganus luridus
Siganus argenteus
Siganus rivulatus
Siganus stellatus
Zebrasoma veliferum
Zebrasoma xanthurum
Acanthurus nigrofuscus
Ctenochaetus striatus
Rhinecanthus assasi
Sufflamen albicaudatus
Cantherhines dumerili
Aluterus scriptus
Amanses scopas
Cantherhines pardalis
Pervagor randalli
Chaetodon auriga
Chaetodon austriacus
Chaetodon fasciatus
Chaetodon melannotus
Chaetodon paucifasciatus
Chaetodon trifascialis
Heniochus diphreutes
Heniochus intermedius
Anampses spp.
Bodianus anthioides
Bodianus axillaris
Bodianus diana
Cheilinus lunulatus
Oxycheilinus mentalis 
Cheilinus trilobatus
Cirrhilabrus rubriventralis
Coris caudimacula
Coris aygula
Coris variegata
Gomphosus caeruleus
Halichoeres spp.
Macropharyngodon bipartitus
Paracheilinus octotaenia
Pseudocheilinus evanidus
Pseudocheilinus hexataenia
Labroides dimidiatus
Larabicus quadrilineatus
Aspidontus taeniatus
Stethojulis spp.
Thalassoma rueppellii
Thalassoma lunare
Parupeneus cyclostomus
Mulloidichthys flavolineatus
Parupeneus forsskali
Parupeneus macronema
Parupeneus rubescens
Aethaloperca rogaa
Cephalopholis argus
Cephalopholis hemistiktos
Cephalopholis miniata
Epinephelus fasciatus
Variola louti
Grammistes sexlineatus
Pseudanthias squamipinnis
Apolemichthys xanthotis
Centropyge multispinis
Pomacanthus imperator
Pomacanthus maculosus
Ostracion cubicus
Ostracion cyanurus
Tetrosomus gibbosus 
Abudefduf spp.
Amblyglyphidodon flavilatus
Amblyglyphidodon leucogaster
Amphiprion bicinctus
Chromis dimidiata
Chromis virdis
Chromis spp.
Dascyllus aruanus
Dascyllus marginatus
Dascyllus trimaculatus
Neoglyphidodon melas
Neopomacentrus miryae
Pomacentrus sulfureus
Pomacentrus trichourus
Arothron diadematus
Arothron hispidus
Arothron stellatus
Canthigaster coronata
Canthigaster margaritata
Canthigaster pygmaea
Diodon holocanthus
Diodon hystrix
Cirrhitichthys oxycephalus
Paracirrhites forsteri 
Meiacanthus nigrolineatus
Ecsenius gravieri
Plagiotremus townsendi
Plagiotremus spp.
Pterois miles
Pterois radiata
Syngnathidae spp.
Synodontidae spp.
Pinguipedidae spp.
Pseudochromis springeri
Pseudochromis fridmani
Pseudochromis olivaceus
Muraenidae spp.
Sargocentron spp.
Apogon spp.
Cheilodipterus spp.
Pempheris vanicolensis
Scorpaenopsis spp.
Synanceia verrucosa
Carangoides sp. 
taeniura lymma
