"","species","leter"
"1","Amblyeleotris steinitzi","C"
"2","Amblyeleotris sungami","C"
"3","Amblyglyphidodon flavilatus","C"
"4","Amblyglyphidodon leucogaster","C"
"5","Amblygobius albimaculatus","C"
"6","Amphiprion bicinctus","C"
"7","Antennarius commerson","C"
"8","Apogon cyanosoma","C"
"9","Apogon exostigma","C"
"10","Apogon fleurieu","C"
"11","Archamia bilineata","C"
"12","Atrosalarias fuscus","C"
"13","Bryaninops natans","C"
"14","Cheilodipterus lachneri","C"
"15","Cheilodipterus novemstriatus","C"
"16","Cheilodipterus quinquelineatus","C"
"17","Chromis dimidiata","C"
"18","Chromis flavaxilla","C"
"19","Chromis pelloura","C"
"20","Chromis ternatensis","C"
"21","Chromis viridis","C"
"22","Chrysiptera unimaculata","C"
"23","Cirripectes castaneus","C"
"24","Corythoichthys flavofasciatus","C"
"25","Corythoichthys nigripectus","C"
"26","Corythoichthys schultzi","C"
"27","Dascyllus aruanus","C"
"28","Dascyllus marginatus","C"
"29","Dascyllus trimaculatus","C"
"30","Dendrochirus brachypterus","C"
"31","Dunckerocampus boyelei","C"
"32","Ecsenius aroni","C"
"33","Ecsenius frontalis","C"
"34","Ecsenius gravieri","C"
"35","Ecsenius nalolo","C"
"36","Enneapterygius pusillus","C"
"37","Eviota guttata","C"
"38","Eviota prasina","C"
"39","Eviota prasites","C"
"40","Eviota sebreei","C"
"41","Fusigobios neophytus","C"
"42","Gnatholepis anjerensis","C"
"43","Gobiodon citrinus","C"
"44","Gobiodon reticulatus","C"
"45","Gobiodon rivulatus","C"
"46","Gorgasia sillneri","C"
"47","Gymnothorax flavimarginatus","C"
"48","Gymnothorax nudivomer","C"
"49","Gymnothorax undulatus","C"
"50","Istigobius decoratus","C"
"51","Koumansetta hectori","C"
"52","Labroides dimidiatus","C"
"53","Larabicus quadrilineatus","C"
"54","Meiacanthus nigrolineatus","C"
"55","Myripristis murdjan","C"
"56","Neoniphon sammara","C"
"57","No Fish","C"
"58","Ostorhinchus nigrofasciatus","C"
"59","Paragobiodon echinocephalus","C"
"60","Paragobiodon xanthosoma","C"
"61","Parapercis hexophtalma","C"
"62","Pardachirus marmoratus","C"
"63","Petroscirtes mitratus","C"
"64","Plagiotremus rhinorhynchos","C"
"65","Plagiotremus tapeinosoma","C"
"66","Plagiotremus townsendi","C"
"67","Pleurosicya micheli","C"
"68","Pomacentrus sulfureus","C"
"69","Pomacentrus trichourus","C"
"70","Pomacentrus trichrourus","C"
"71","Priacanthus hamrur","C"
"72","Pseudochromis flavivertex","C"
"73","Pseudochromis fridmani","C"
"74","Pseudochromis olivaceus","C"
"75","Pseudochromis pesi","C"
"76","Pseudochromis springeri","C"
"77","Pterois radiata","C"
"78","Sargocentron caudimaculatum","C"
"79","Sargocentron diadema","C"
"80","Sargocentron spiniferum","C"
"81","Saurida gracilis","C"
"82","Scorpaenodes paravipinnis","C"
"83","Scorpaenopsis barbata","C"
"84","Sebastapistes cyanostigma","C"
"85","Siderea grisea","C"
"86","Siphamia majimai","C"
"87","Synodus variegatus","C"
"88","Taeniura lymma","C"
"89","Trimma avidori","C"
"90","Trimma barralli","C"
"91","Trimma flavicaudatum","C"
"92","Tripterygiidae sp.","C"
"93","Valenciennea puellaris","C"
"94","Diplogrammus randalli","C"
"95","Asterropteryx semipunctatus","C"
"96","Callionymus sp.","C"
"97","Alloblennius pictus","C"
"98","Coryphopterus neophytus","C"
"99","Fusigobius longispinus","C"
"100","Ctenogobiops maculosus","C"
"101","Bothus pantherinus","C"
"102","Cheilodipterus macrodon","C"
"103","Scarus spp.","C"
"104","Cryptocentrus lutheri","C"
"105","Tomiyamichthys latruncularius","C"
"106","Plectroglyphidodon lacrymatus","C"
"107","Abudefduf sexfasciatus","T"
"108","Abudefduf vaigiensis","T"
"109","Acanthopagrus berda","T"
"110","Acanthopagrus bifasciatus","T"
"111","Acanthurus gahhm","T"
"112","Acanthurus nigrofuscus","T"
"113","Acanthurus sohal","T"
"114","Aethaloperca rogaa","T"
"115","Aluterus scriptus","T"
"116","Amanses scopas","T"
