,Species,Species_2015,Family,Status
1,Acanthurus gahhm,Acanthuridae,Acanthuridae,T
2,Acanthurus nigrofuscus,Acanthuridae,Acanthuridae,T
3,Acanthurus spp.,Acanthuridae,Acanthuridae,T
4,Ctenochaetus striatus,Acanthuridae,Acanthuridae,T
5,Zebrasoma desjardinii,Zebrasoma desjardinii,Acanthuridae,T
6,Zebrasoma xanthurum,Zebrasoma xanthurum,Acanthuridae,T
7,Aetobatus narinari,Aetobatidae,Aetobatidae,T
8,Antennarius commerson,Antennariidae,Antennariidae,C
9,Apogon spp.,Apogonidae,Apogonidae,C
10,Cheilodipterus lachneri,Cheilodipterus spp.,Apogonidae,C
11,Cheilodipterus macrodon,Cheilodipterus spp.,Apogonidae,C
12,Cheilodipterus novemstriatus,Cheilodipterus spp.,Apogonidae,C
13,Cheilodipterus quinquelineatus,Cheilodipterus spp.,Apogonidae,C
14,Cheilodipterus spp.,Cheilodipterus spp.,Apogonidae,C
15,Nectamia annularis,Apogonidae,Apogonidae,C
16,Nectamia zebrinus,Apogonidae,Apogonidae,C
17,Ostorhinchus cyanosoma,Apogonidae,Apogonidae,C
18,Ostorhinchus fleurieu,Apogonidae,Apogonidae,C
19,Ostorhinchus nigrofasciatus,Apogonidae,Apogonidae,C
20,Pristiapogon exostigma,Apogonidae,Apogonidae,C
21,Siphamia majimai,Apogonidae,Apogonidae,C
22,Atherinomorus lacunosus,Atherinidae,Atherinidae,T
23,Balistapus undulatus,Balistidae,Balistidae,T
24,Balistidae spp.,Balistidae,Balistidae,T
25,Odonus niger,Balistidae,Balistidae,T
26,Pseudobalistes fuscus,Balistidae,Balistidae,T
27,Rhinecanthus assasi,Balistidae,Balistidae,T
28,Sufflamen albicaudatum,Balistidae,Balistidae,T
29,Tylosurus choram,Belonidae,Belonidae,T
30,Alloblennius pictus,Blenniidae,Blenniidae,C
31,Aspidontus dussumieri,Blenniidae,Blenniidae,C
32,Aspidontus taeniatus,Aspidontus taeniatus,Blenniidae,C
33,Aspidontus tractus,Blenniidae,Blenniidae,C
34,Atrosalarias fuscus,Blenniidae,Blenniidae,C
35,Blenniella periophthalmus,Blenniidae,Blenniidae,C
36,Cirripectes castaneus,Blenniidae,Blenniidae,C
37,Ecsenius aroni,Blenniidae,Blenniidae,C
38,Ecsenius frontalis,Blenniidae,Blenniidae,C
39,Ecsenius gravieri,Ecsenius gravieri,Blenniidae,C
40,Ecsenius midas,Blenniidae,Blenniidae,C
41,Ecsenius nalolo,Blenniidae,Blenniidae,C
42,Exallias brevis,Blenniidae,Blenniidae,C
43,Meiacanthus nigrolineatus,Meiacanthus nigrolineatus,Blenniidae,C
44,Plagiotremus rhinorhynchos,Plagiotremus spp.,Blenniidae,C
45,Plagiotremus spp.,Plagiotremus spp.,Blenniidae,C
46,Plagiotremus tapeinosoma,Plagiotremus spp.,Blenniidae,C
47,Plagiotremus townsendi,Plagiotremus townsendi,Blenniidae,C
48,Salarias fasciatus,Blenniidae,Blenniidae,C
49,Caesio lunaris,Caesio spp.,Caesionidae,T
50,Caesio spp.,Caesio spp.,Caesionidae,T
51,Caesio varilineata,Caesio spp.,Caesionidae,T
52,Callionymus sp.,Callionymidae,Callionymidae,C
53,Chaetodon auriga,Chaetodon auriga,Chaetodontidae,T
54,Chaetodon austriacus,Chaetodon austriacus,Chaetodontidae,T
55,Chaetodon fasciatus,Chaetodon fasciatus,Chaetodontidae,T
56,Chaetodon melannotus,Chaetodon melannotus,Chaetodontidae,T
