Species,Species_2015,Family,Status_survey_based,based_on_home_range,based_on_reef_assosiation,notes,,
Acanthurus gahhm,Acanthuridae,Acanthuridae,T,1,2,diet = algee that growes on rubbel/send,,0-core 
Acanthurus nigrofuscus,Acanthuridae,Acanthuridae,T,1,1,diet = algee that growes ondead corals rubbel/send,,1-Transient at knoll level
Acanthurus spp.,Acanthuridae,Acanthuridae,T,1,1,,,2 - Transient at reef level
Ctenochaetus striatus,Acanthuridae,Acanthuridae,T,1,1,diet = algee that growes ondead corals rubbel/send,,
Zebrasoma desjardinii,Zebrasoma desjardinii,Acanthuridae,T,1,1,NA,,
Zebrasoma xanthurum,Zebrasoma xanthurum,Acanthuridae,T,1,1,diet = algae on dead coral,,
Aetobatus narinari,Aetobatidae,Aetobatidae,T,2,2,diet = mullesca,,
Antennarius commerson,Antennariidae,Antennariidae,C,0,0,diet = fish & shrimps,,
Apogon spp.,Apogonidae,Apogonidae,C,0,0,,,
Cheilodipterus lachneri,Cheilodipterus spp.,Apogonidae,C,0,0,,,
Cheilodipterus macrodon,Cheilodipterus spp.,Apogonidae,C,0,0,diet = fish  ,,
Cheilodipterus novemstriatus,Cheilodipterus spp.,Apogonidae,C,0,0,diet = fish & crustan,,
Cheilodipterus quinquelineatus,Cheilodipterus spp.,Apogonidae,C,0,0,diet = fish & crustan,,
Cheilodipterus spp.,Cheilodipterus spp.,Apogonidae,C,0,0,,,
Nectamia annularis,Apogonidae,Apogonidae,C,0,0,zoopankton,,
Nectamia zebrinus,Apogonidae,Apogonidae,C,0,0,zoopankton,,
Ostorhinchus cyanosoma,Apogonidae,Apogonidae,C,0,0,zoopankton,,
Ostorhinchus fleurieu,Apogonidae,Apogonidae,C,0,0,,,
Ostorhinchus nigrofasciatus,Apogonidae,Apogonidae,C,0,0,invertebrates ,,
Pristiapogon exostigma,Apogonidae,Apogonidae,C,0,0,zoopankton,,
Siphamia majimai,Apogonidae,Apogonidae,C,0,0,"Commensal with sea urchins also found in sheltered reefs and adjacent sand, rubble and rocky bottoms",,
